metric,auc_with_mean,auc_with_std,auc_without_mean,auc_without_std,auc_drop_mean,auc_drop_std,auc_drop_se,num_features,keep
equity,0.9626494374513767,0.0007999174894646837,0.9618054564235029,0.0008183928795514684,0.0008439810278736637,0.0005778564551154485,0.0002584252629750398,2,True
working_capital,0.9626494374513767,0.0007999174894646837,0.962062820986129,0.0008195477291326992,0.0005866164652474249,0.0009458744582893436,0.00042300791738315234,3,True
revenue,0.9626494374513767,0.0007999174894646837,0.9620743574784463,0.0007530172392729543,0.0005750799729303368,0.0005924226251909761,0.00026493945226718036,2,True
assets,0.9626494374513767,0.0007999174894646837,0.9621386903841878,0.0009052306906502695,0.0005107470671888326,0.0012894270209782735,0.0005766492941864934,1,True
profit,0.9626494374513767,0.0007999174894646837,0.9622889885808247,0.0010539280553281774,0.00036044887055197705,0.0013172121318510298,0.0005890751735212636,1,True
operating_margin,0.9626494374513767,0.0007999174894646837,0.962587379230515,0.0009143740747377603,6.205822086169377e-05,0.0012029612562333603,0.0005379806286472672,3,False
leverage,0.9626494374513767,0.0007999174894646837,0.9628645977551935,0.0005387450427011402,-0.0002151603038169414,0.00042989488262131165,0.00019225483614410916,1,False
net_margin,0.9626494374513767,0.0007999174894646837,0.9628720847134182,0.0009420808206270474,-0.0002226472620417308,0.0006309532024346838,0.00028217085025302775,1,False
cash_liquidity,0.9626494374513767,0.0007999174894646837,0.9629261163245222,0.0008399022666681881,-0.0002766788731453529,0.000953048778008355,0.00042621637069995764,1,False
