Configuration,Num_Features,Temporal_Features,Mean_AUC,Std_AUC,SE_AUC
Baseline (no temporal),73,0,0.9608013798248735,0.0012519520705560616,0.0005598899868669933
Original (all temporal),107,34,0.9625375532178488,0.0006329003785728694,0.00028304165389485747
Optimized (selected temporal),73,0,0.9608013798248735,0.0012519520705560616,0.0005598899868669933
