N_Features,ROC_AUC,PR_AUC,Brier_Score,Log_Loss,Marginal_PR_AUC,Marginal_ROC_AUC,Added_Feature
32,0.9497309778924957,0.6408515985140828,0.01057007280314732,0.046615465478053536,0.0,0.0,Baseline (32)
33,0.9502699795599814,0.6410331273179954,0.010562235282382718,0.04654907323783068,0.00018152880391264503,0.0005390016674856613,ratio_short_term_debt_share
34,0.950100699023565,0.6423455742488453,0.010519395623254225,0.04649046426021675,0.0013124469308498643,-0.00016928053641640517,log_br10_eksu
35,0.950882700170745,0.6418335281184162,0.010551928779555155,0.04642382344512776,-0.0005120461304291002,0.0007820011471800781,log_bslov_antanst
36,0.9514691336911218,0.6470823714138153,0.010493387118408902,0.04611391788305031,0.005248843295399097,0.0005864335203767945,dpo_days_trend_3y
37,0.9520308962813034,0.6457876377744526,0.010480593349061233,0.046026219304390284,-0.0012947336393627218,0.0005617625901815915,ny_omspanst
38,0.9518050746254623,0.6419909319340273,0.010564294286804088,0.046349514347073364,-0.0037967058404252407,-0.00022582165584117408,term_spread
39,0.9515937616804304,0.6476984273003792,0.010464757518909453,0.046030496945922365,0.005707495366351845,-0.0002113129450318496,log_rr15_resar
40,0.9525944464426063,0.6500003807854661,0.010462127455186895,0.045889916035301674,0.002301953485086883,0.001000684762175852,ny_kasslikv
41,0.9522111471172011,0.6497675985771353,0.010451627648617462,0.04600954569556424,-0.000232782208330784,-0.0003832993254051509,ny_avktokap
42,0.9515741596162905,0.6452476891646755,0.010493519098352303,0.046197541833038064,-0.004519909412459833,-0.0006369875009105685,revenue_beta_gdp_5y
43,0.95098399178638,0.64248684986672,0.010538359338328125,0.04635701623887619,-0.002760839297955453,-0.000590167829910504,ratio_nwc_sales
44,0.9521188790626349,0.6484969966230545,0.010453077445056712,0.04593608303041538,0.006010146756334489,0.0011348872762548812,ny_skuldgrd_yoy_diff
45,0.9522688024076672,0.6476192723640041,0.010441325959435538,0.04586413851752315,-0.0008777242590504164,0.00014992334503227678,bransch_borsbransch_konv
