Step,N_Features,Removed_Feature,Brier_Score,Log_Loss,ROC_AUC,PR_AUC,SHAP_Importance,Composite_Loss,Action
0,40,Baseline,0.010462127455186895,0.045889916035301674,0.9525944464426063,0.6500003807854661,0.0,0.0,N/A
1,39,log_bslov_antanst,0.01045872843695255,0.04588207937306577,0.952169163683137,0.649662535878679,0.06690680201175783,-0.00010897414148249424,Removed
