Strategy,N_Features,ROC_AUC,PR_AUC,Brier_Score,Log_Loss,PR_AUC_vs_Baseline,ROC_AUC_vs_Baseline
Strategy 4: Hybrid,40,0.9525944464426063,0.6500003807854661,0.010462127455186895,0.045889916035301674,0.001259472223544389,-0.00013652880526360267
Strategy 1: SHAP Top-40,40,0.9515428648780379,0.6477420671425715,0.01045622613023569,0.046026274737338516,-0.0009988414193501383,-0.0011881103698320183
Strategy 2: Consensus ≥2,39,0.9519456928057559,0.6475551445373662,0.010450684308045908,0.0459896094238981,-0.0011857640245555023,-0.0007852824421139548
Current (Consensus ≥3),32,0.9497309778924957,0.6408515985140828,0.01057007280314732,0.046615465478053536,-0.007889310047838882,-0.002999997355374151
Strategy 3: Relaxed Consensus,32,0.9497309778924957,0.6408515985140828,0.01057007280314732,0.046615465478053536,-0.007889310047838882,-0.002999997355374151
