Method,N_Features,ROC_AUC,PR_AUC,Brier_Score,Log_Loss
Baseline (All),65,0.9527309752478699,0.6487409085619217,0.010480827543609527,0.045943373515879384
VIF,53,0.9515501498425368,0.648082608333082,0.01044787900374244,0.046043595644065904
Stability,34,0.94943119242062,0.6405609468436704,0.010574055271084532,0.046668285511324924
Boruta,19,0.9441346926513882,0.6314054286788471,0.010637716420606003,0.04777605667911882
SHAP,40,0.9515428648780379,0.6477420671425715,0.01045622613023569,0.046026274737338516
Consensus (3+),32,0.9497309778924957,0.6408515985140828,0.01057007280314732,0.046615465478053536
Final (RFECV),32,0.9497309778924957,0.6408515985140828,0.01057007280314732,0.046615465478053536
