cluster,risk_level,enrichment,default_rate_pct,size,top_risk_features,top_protective_features
4,High Risk,5.594542483660131,9.85,5472,"ny_avkegkap, ny_skuldgrd","ny_solid_yoy_diff, ratio_cash_liquidity_yoy_abs"
3,Elevated Risk,2.521803921568628,4.44,2072,"company_age, ny_omsf","ny_rs, ratio_cash_interest_cov"
0,Moderate Risk,1.0223529411764707,1.7999999999999998,8434,"ny_skuldgrd, dividend_yield","ny_avkegkap, ratio_depreciation_cost"
8,Moderate Risk,0.9428366013071896,1.66,3066,"ny_skuldgrd, dividend_yield","inventory_days_yoy_diff, ny_kapomsh"
6,Moderate Risk,0.8973986928104577,1.58,9889,"log_br07b_kabasu, company_age","ny_avkegkap, dividend_yield"
9,Moderate Risk,0.75540522875817,1.3299999999999998,4067,"revenue_drawdown_5y, sni_group_3digit","ny_skuldgrd, company_age"
7,Very Low Risk,0.10223529411764706,0.18,6632,"company_age, sni_group_3digit","log_br07b_kabasu, ratio_cash_liquidity"
2,Very Low Risk,0.06247712418300654,0.11,4534,"ny_kapomsh, ratio_depreciation_cost","sni_group_3digit, dividend_yield"
5,Very Low Risk,0.05111764705882353,0.09,3285,"term_spread, revenue_drawdown_5y","log_br07b_kabasu, ratio_cash_liquidity"
1,Very Low Risk,0.02839869281045752,0.05,13379,"sni_group_3digit, inventory_days_yoy_diff","ny_skuldgrd, dividend_yield"
