Period,AUC,PR-AUC,Brier,ECE,Default Rate
pre_crisis,0.8946806044061806,0.15088023221512034,0.012120724470130169,0.006118820458969347,0.013236919950996504
financial_crisis,0.8972320062292765,0.16175466921923942,0.017167261480419083,0.0050857388920937715,0.019129906696847568
sovereign_debt,0.9032722635682244,0.1796494489714774,0.01624868879714935,0.004564364415849906,0.018295056442195406
recovery,0.8981201074958264,0.161411398009092,0.014927011476993273,0.0038704173777738492,0.01651343244653104
covid,0.9064589926898604,0.18364762463653309,0.015117030822185837,0.004767709920531276,0.01703232085648242
post_covid,0.9071104548607928,0.11773655906079325,0.010018425585788046,0.00528959366395775,0.010662713971502343
