iter	Logloss
0	0.5972964489
1	0.5110591466
2	0.4431724587
3	0.3873396874
4	0.3392244235
5	0.2993518513
6	0.2639444111
7	0.2353018884
8	0.2120474133
9	0.1899133884
10	0.1725121033
11	0.1585744173
12	0.1458702103
13	0.1350743178
14	0.1264938842
15	0.1196483567
16	0.1134234896
17	0.1077793605
18	0.102864746
19	0.09875791987
20	0.0951914037
21	0.09220038066
22	0.08956347406
23	0.08720940757
24	0.08524490709
25	0.08335955302
26	0.08185387576
27	0.0804862959
28	0.07924580898
29	0.07817748309
30	0.07720325631
31	0.07642812647
32	0.07566986938
33	0.07501884646
34	0.07450734395
35	0.07388115265
36	0.07336406202
37	0.07283242273
38	0.07237463634
39	0.07191610081
40	0.07155056738
41	0.0711056049
42	0.07084751732
43	0.07055140801
44	0.07030035645
45	0.07004801046
46	0.06984135042
47	0.06955019852
48	0.06940392569
49	0.06920669091
50	0.06907110567
51	0.06895190932
52	0.06880109828
53	0.0686673152
54	0.06851208395
55	0.06838150394
56	0.0682141944
57	0.06808031312
58	0.06793769975
59	0.06783617985
60	0.06771840935
61	0.06758891886
62	0.06747551772
63	0.06740443948
64	0.06732292703
65	0.06725372054
66	0.06716447843
67	0.06707253724
68	0.06699603542
69	0.06690787208
70	0.06679879889
71	0.06672618797
72	0.06665528316
73	0.06658141765
74	0.06651197272
75	0.0664533457
76	0.06639711692
77	0.06635044858
78	0.06629634267
79	0.06625743334
80	0.0662094039
81	0.06616362412
82	0.06612387102
83	0.06606384239
84	0.06603532199
85	0.06600406851
86	0.06596700313
87	0.06593461237
88	0.06588095938
89	0.06584170912
90	0.06580511809
91	0.0657620983
92	0.06572682428
93	0.06569101805
94	0.06565715738
95	0.06561796789
96	0.06559460494
97	0.06554735197
98	0.06549542367
99	0.0654613617
100	0.06543368182
101	0.06539642162
102	0.06535137136
103	0.06532245982
104	0.06529905021
105	0.06526628901
106	0.06523568022
107	0.06520584569
108	0.06516729643
109	0.06513031126
110	0.06509350718
111	0.06506300358
112	0.06502839687
113	0.06500084437
114	0.06497034445
115	0.06493331129
116	0.06489847756
117	0.06487036579
118	0.06484366622
119	0.06481449046
120	0.0647863465
121	0.06475784589
122	0.06472041162
123	0.06468916719
124	0.064663647
125	0.06464031096
126	0.0646053983
127	0.06457915821
128	0.0645556273
129	0.06452978755
130	0.06449280736
131	0.06446842991
132	0.06444548747
133	0.06442119898
134	0.06439292675
135	0.06437245631
136	0.06434949469
137	0.06432512043
138	0.06430335541
